2627,3869.4,7050.8,3364.6,4504.9,23380,9897.2,17463,7862.9,11494,12336,8108.4,7417.5,6571.6,14387,7743.3,7905.3,2490.5,944.97,625.36,6751.6,5945.2,1742.3,2471.5,4159.9,1379.2,481.6,595.26,581.21,159.64,268.16,650.1,12133,8829.6,2494.2,501.39,694.09,348.04,218.32,151.25,122.63,140.26,119.69,666.05,1414.9,9384.9,5249.5,4292.9,1923.4,1921.8,2328.8,5450.6
5827.9,3937.6,5252.2,3986.8,3869.4,2592.2,4343,4103.7,3126.7,10358,20340,5224.2,8781.1,25574,15436,5639.9,7087.9,4504.7,1690.2,978.27,447.14,315.67,352.07,1162.6,1137.4,2083.4,2045.2,6042.4,12710,14365,1333.5,240.45,201.07,1250.6,1105.3,399.04,165.68,101.98,83.498,235.69,215.36,136.98,44.958,132.16,137.63,175.29,113.24,122.69,463.58,836.11,1175.9,3250.6
1191.5,842.37,887.99,935.74,4122.3,5788.4,7760.7,6515.2,7358.8,19350,20535,10855,12451,6347.1,3982.7,3294.7,1862,5048.3,2983.5,9570,8784,2196.8,1496.3,7512.3,3061.6,1442.9,744.25,968.59,458.16,1660.3,1093.8,816.75,4421,6804.3,3091.8,5303.9,9463.6,1632.6,2293.3,184.47,752.11,7303.7,1542.8,3845.7,4859,4569.3,4387.9,4395.7,7484,10457,9131.3,10791
12827,13083,21704,24886,17347,19108,9179.7,4930.6,4983.5,13352,10627,16372,29151,11623,6296.6,15699,13238,2597.4,1602.1,2294,3264.1,2779.4,2955.8,4886.4,1306.9,810.22,15162,19090,26961,8160,2563,1162.1,1327,1034.2,1889,1459.7,692.86,671.86,1094.8,221.33,146.75,146.97,126.52,267.23,436.08,654.14,578.25,600.1,719.95,798.38,983.25,4364.8
11912,9940.8,19030,8851.2,4547.8,6905.7,31524,30083,17339,22909,35124,28295,29973,21308,23806,24936,10746,8475.7,8109.4,3421.4,3455.7,2556.1,1154.8,681.51,510.63,352.29,3592,4651.5,25246,17175,6361.7,14216,2524.8,874.89,567.21,1085.2,916.96,5376.2,3519.8,19515,12561,10732,28538,10804,2295.6,2871.4,3408.9,7818.9,7535.2,10537,6660,4809.1
7400.8,11353,8203.2,6259.9,5622.1,10897,17963,25747,23657,12229,7953,9118,6984.4,4715.8,2814.5,5492.9,5483.9,3571.8,1924.8,1948.2,2553.1,2150.6,291.02,695.97,455.32,1968.6,2174.4,3060.1,15178,13440,1832,3213.6,3373.4,7264.6,8881.6,20954,38242,1.0251e+005,48530,9968.4,7780.7,4434.2,3258.3,2324.7,2101.9,2302.6,3363.5,2633.3,12328,16544,20169,40340
19287,12788,19707,21821,18291,24248,22958,25479,12560,6570.4,4648.1,7825.2,6554.1,9904.4,5703.8,7523.1,5607.2,12845,11489,14902,17938,9296.6,6108.6,5802.9,9365.2,6592.8,10715,24593,15472,5382.6,13029,12157,4225.3,7965.9,8488.8,957.25,1102.4,3289.8,5845.8,2118.9,13041,8305.7,2144.8,4496.2,7240.1,5046.2,7077.8,4699.3,3580.1,3052.1,4275.2,7346.4
16672,20934,32417,26226,9560.4,5669.1,4537,4978.9,4284.9,8720.8,16791,13978,8342.4,10552,14165,19305,6345,2712.1,1614.7,1029.7,1522.7,1853.3,537.61,523.04,573.33,1034.2,304.64,1048.1,1180.1,2156.9,488.25,363.46,244.58,1532.9,1768.1,1593.3,1769.4,1338.1,16618,1521.8,1685.8,9174.8,3066.5,4935,9152.7,20035,15042,8723.7,3082.5,4160.2,6540.6,5924.8
6949.6,7806,8651.7,13812,18448,33317,50997,26743,16209,20507,29587,13538,7879.2,18906,14225,12285,9894.4,5130.2,3178.8,4951.3,2163.9,5885.3,2728.7,1540.5,2252.5,10040,2373.1,636.49,2228.2,2565.3,4470.1,7825.2,2213.7,1458.5,567.06,903.8,1692.4,627.32,508.86,8096.5,9747.6,5160.6,2220.1,1788.3,14301,14835,21972,55127,30127,16634,13358,24040
28465,15016,8502.3,7463.2,8600.2,11532,13739,24721,16132,6886.7,7169.7,8234.2,8155.4,9933.9,13414,5856.8,4226.9,29704,29685,10362,3635.5,5536.9,2625,1913.9,1292.2,903.07,4741.3,1770.7,11262,2288.2,3676.3,4793,10156,33509,21345,11303,5178.4,4832.3,3823.4,8458.2,6965.1,5508.3,5014.7,16147,17191,6938.4,4564.4,7214.2,3777,3910.2,6417.4,6743.7
5352.7,4629.1,9716.4,9782.6,7016.4,5109.8,6218.7,4849,6856.3,8897.5,7170.1,13671,10400,5474.9,3299.8,2172.9,1654,21163,12463,11495,5198,14671,3468.9,1233,667.49,1485.3,2487.7,25011,11522,5237.1,9033.7,1936.6,601.22,635.55,325.52,168.85,4019.7,1757.8,174.68,253.47,262.57,1316.6,4402,1196.1,811.17,910.44,923.68,2062.3,4924.6,6281.4,3278.6,3957.9
5127.5,2887.5,2811.7,2090.3,2597.5,3823.3,3810.7,4549.2,3076.5,4117.5,6088.5,12464,10539,14696,17332,8986.2,10905,2833.9,3469.4,1095.1,645.24,669.7,1242.5,1298.1,3040.7,3902.5,1855.4,795.31,580.58,839.56,1186,1931.1,1124.2,797.04,818.37,233.62,204.53,171.95,232.12,185.25,74.695,106.66,53.515,135.13,988.04,740.73,318.21,705.55,3823.2,4114.9,8451,6608.2
7740.8,10151,5839.7,11695,13767,11820,9768.4,14899,42229,54014,29154,22306,31009,14351,6675.2,4747.2,7222.9,4731.3,2570.8,3668.1,13962,5004.9,2362.6,937.11,1222.3,1977,305.27,1960.5,360.13,497.49,2244.6,12270,9279.2,4256,13450,11956,4223.4,4948.4,54825,3287.6,1334.3,1632.5,964.87,1386.8,2222.1,6000.5,15553,19552,4334.4,7265.4,4498.8,4130.7
23385,24272,15343,19407,13959,23605,32521,23525,22250,26879,25612,25591,15297,13595,11310,9325.3,5733.5,4906.9,8422.5,4150.6,1394.4,582,430.27,5347.6,7809.9,1972.6,2725.8,1126,596.32,393.57,202.83,315.2,566.96,1178.3,206.52,174.59,126.3,68.025,4111.5,2839,102.8,34.927,40.436,40.436,40.436,248.2,260.65,898.83,1935.8,3899.7,6772.3,7314.2
22654,13267,29908,42127,16173,6889.4,5051.6,9334,14627,12298,10253,7406.3,14490,12863,18802,9735.4,2925,3377.6,2071.8,4957.6,5392.3,5116.2,1152.5,1476.1,643.58,280.73,292.06,309.4,1103.4,1140.2,490.29,231.09,65.259,67.934,157.99,226.34,46.502,51.57,92.675,7733,5878.5,21223,9520.3,5009.4,805.3,1065,2423.4,2163.7,4428.1,10955,6849.3,8282.2
2427.6,3162.4,3425.3,7099.4,11596,20149,17108,13120,8680.1,7614.6,9477.8,10976,6504.8,5135.1,11602,10315,5947.4,1468.7,1146.8,1973.1,2399.7,1307.7,421.04,233.81,488.48,2846.2,922.15,3764.2,6981,4937.2,1820.2,819.71,23196,13463,9303.4,14882,7776.1,20007,12648,12600,4959.3,3425.5,2318,2156.7,1670.2,1607.6,2182.3,3069.6,1607.3,1557.9,1314.7,1312.4
1177.9,1132.5,1404.1,2093.7,4926.6,20698,14398,12387,16056,15914,15915,17649,10076,5577.5,10109,14347,5119.9,5827.2,11726,4990.7,1189.7,1395.9,4837.8,1836,2155.7,2817.3,6344.5,3294,9656,13503,3153.6,857.58,699.39,2435.2,2693.5,4382.9,6065.4,1556.1,6134,7252.2,5177.1,5692.6,13540,12870,4677.4,2498.4,1765.5,2143.1,7205.6,6622.6,7702.6,16331
3653.4,1829.8,1768.6,3173.4,24120,19055,13997,11630,23647,19780,16760,13599,16722,7822.8,6670.8,3380.5,5688.1,2221.8,5465,4339.6,3362.4,3776,5946.3,25012,10008,2543.2,3169.7,7245.3,2203,1834.6,2939.9,3562.6,2339.5,9579.1,10816,1713.6,4928.8,2164.9,5040.1,14184,6917,1833.4,1411.6,2880.2,5689.5,5073.1,22177,55402,15049,17095,11898,15648
